"filename", "language", "Markdown", "JSON", "Python", "JavaScript", "pip requirements", "vue", "CSS", "XML", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\李建业\Desktop\CUMT_graduation-master\README.md", "Markdown", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 127
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\README.md", "Markdown", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 182
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\app.py", "Python", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 23, 18, 149
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\dataset\CHASEDB1\ImageSets\Segmentation\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\dataset\CHASEDB1\rename.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\dataset\DRIVE\train\ImageSets\Segmentation\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\dataset\IDRiD\ImageSets\Segmentation\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\get_miou.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 17, 8, 63
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\json_to_dataset.py", "Python", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 13, 70
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\resnet.py", "Python", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 24, 40, 186
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\unet(vgg+resnet).py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 25, 30, 135
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\unet.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 29, 29, 133
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\unet_old.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 13, 63
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\unet_training.py", "Python", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 4, 19, 114
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\nets\vgg.py", "Python", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 10, 76
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\predict.py", "Python", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 54, 16, 182
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\summary.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 5, 31
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\train.py", "Python", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 249, 42, 508
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\train_medical.py", "Python", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 249, 47, 491
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\train_medical2.py", "Python", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 262, 50, 521
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\unet.py", "Python", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 278, 63, 598
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\callbacks.py", "Python", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 55, 41, 239
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\dataloader.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 34, 22, 150
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\dataloader_medical.py", "Python", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 322, 95, 536
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\dataloader_medical_Label.py", "Python", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 164, 62, 361
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\utils.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 16, 15, 89
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\utils_fit.py", "Python", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 54, 35, 197
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\utils\utils_metrics.py", "Python", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 50, 35, 235
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\voc_annotation.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 10, 14, 98
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\voc_annotation_medical.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 8, 57
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_backend\毕设0.md", "Markdown", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 126
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\.prettierrc.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\package-lock.json", "JSON", 0, 2512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2513
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\public\images\mylogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\api\apiConfig.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\api\training_info.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 14, 87
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\assets\moon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\components\Header.vue", "vue", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\main.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\router\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 15, 6, 64
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\styles\dark\css-vars.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\Diagram.vue", "vue", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 12, 142
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 67
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\Segimage.vue", "vue", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\Train.vue", "vue", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 9, 114
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\TrainModel.vue", "vue", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 3, 20, 190
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\src\views\UploadCSV.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\李建业\Desktop\CUMT_graduation-master\graduation_frontend\vite.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\李建业\Desktop\CUMT_graduation-master\package-lock.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\李建业\Desktop\CUMT_graduation-master\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 337, 2575, 2616, 104, 11, 653, 104, 5, 8, 13, 1976, 992, 9394